epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42766.6,1.21384,3.06301,1.0912,1.19151,0.50257,0.298,0.30314,0.20819,0.41407,0.20782,0.19981,0.11896,1.3616,3.37524,1.26427,1.15516,0.000165574,0.000165574,0.000165574
43,43797.4,1.2085,3.05381,1.09161,1.19556,0.54981,0.29387,0.30453,0.20635,0.46173,0.20192,0.20359,0.11676,1.36483,3.42439,1.27554,1.16839,0.000164076,0.000164076,0.000164076
44,44834.4,1.21218,3.05934,1.08813,1.1913,0.55745,0.31031,0.3066,0.20774,0.47503,0.208,0.20101,0.11866,1.37856,3.35791,1.27185,1.15947,0.000162577,0.000162577,0.000162577
45,45876.4,1.20899,3.05462,1.07888,1.18806,0.57487,0.29437,0.30428,0.20794,0.5037,0.20225,0.20116,0.11691,1.3672,3.34017,1.26967,1.16517,0.000161079,0.000161079,0.000161079
46,46926.1,1.20288,3.03541,1.07901,1.1867,0.5608,0.29007,0.30291,0.20851,0.46057,0.20587,0.19951,0.11737,1.38305,3.42462,1.28048,1.1586,0.000159581,0.000159581,0.000159581
47,47974.4,1.20153,3.02995,1.07162,1.18695,0.54566,0.3059,0.30203,0.20533,0.4582,0.20436,0.20054,0.11755,1.37824,3.43721,1.28276,1.16453,0.000158083,0.000158083,0.000158083
48,49025.8,1.19851,3.03252,1.07606,1.18758,0.57953,0.29108,0.30618,0.20997,0.50486,0.20469,0.20702,0.12018,1.36928,3.41448,1.27479,1.15825,0.000156585,0.000156585,0.000156585
49,50073.6,1.19852,3.01934,1.06702,1.18376,0.5254,0.30652,0.31766,0.21598,0.4217,0.20874,0.2113,0.12184,1.37562,3.3692,1.27041,1.16654,0.000155086,0.000155086,0.000155086
50,51120.3,1.19888,3.02699,1.06638,1.18386,0.53603,0.30179,0.31279,0.21463,0.44886,0.20887,0.20791,0.1222,1.37256,3.43742,1.27349,1.16131,0.000153588,0.000153588,0.000153588
51,52160.7,1.20004,3.02782,1.06737,1.18359,0.51469,0.30936,0.31646,0.21151,0.43779,0.21749,0.21745,0.12406,1.37264,3.45762,1.26071,1.16466,0.00015209,0.00015209,0.00015209
52,53196.8,1.19972,3.03665,1.06544,1.18361,0.53626,0.30472,0.30585,0.21015,0.42735,0.21247,0.20549,0.1201,1.37359,3.44537,1.26735,1.15313,0.000150592,0.000150592,0.000150592
53,54228.9,1.19576,3.0207,1.05806,1.1823,0.56253,0.30554,0.3147,0.21307,0.44217,0.20999,0.208,0.12039,1.35655,3.40294,1.2383,1.14624,0.000149094,0.000149094,0.000149094
54,55259.8,1.2058,3.03164,1.06768,1.18421,0.57025,0.3014,0.31688,0.21036,0.49797,0.20746,0.21064,0.12076,1.37978,3.39109,1.27334,1.15731,0.000147595,0.000147595,0.000147595
55,56293.1,1.18714,3.0157,1.05265,1.17841,0.52512,0.30578,0.3156,0.21192,0.43019,0.21193,0.21,0.12109,1.36079,3.42626,1.25856,1.15313,0.000146097,0.000146097,0.000146097
56,57331,1.19057,3.01099,1.04633,1.17515,0.56206,0.30551,0.31983,0.21128,0.45535,0.21443,0.21773,0.12206,1.37848,3.47066,1.27401,1.15716,0.000144599,0.000144599,0.000144599
57,58364.1,1.18854,3.00897,1.04378,1.17611,0.57166,0.29259,0.31014,0.21158,0.44857,0.21163,0.20784,0.11953,1.37291,3.39585,1.26199,1.1572,0.000143101,0.000143101,0.000143101
58,59403.9,1.18734,3.00378,1.04393,1.17786,0.53561,0.30652,0.3183,0.21758,0.42738,0.21687,0.21426,0.12381,1.351,3.41168,1.24832,1.14882,0.000141603,0.000141603,0.000141603
59,60433,1.18358,2.99237,1.03869,1.17371,0.57655,0.30193,0.309,0.21147,0.46322,0.217,0.20464,0.11782,1.36,3.3972,1.24227,1.15468,0.000140104,0.000140104,0.000140104
60,61472.5,1.18649,2.99724,1.04177,1.17349,0.53315,0.30112,0.3126,0.21345,0.46389,0.21333,0.21186,0.1221,1.36209,3.48283,1.26128,1.15196,0.000138606,0.000138606,0.000138606
61,62538.4,1.18455,2.99552,1.03805,1.17273,0.56673,0.30126,0.31146,0.20988,0.45831,0.21244,0.20401,0.11859,1.3621,3.4963,1.26047,1.16143,0.000137108,0.000137108,0.000137108
62,63595.3,1.18396,2.99432,1.03341,1.17197,0.54259,0.30037,0.31413,0.21095,0.43603,0.21427,0.22162,0.12163,1.36747,3.44306,1.26597,1.15793,0.00013561,0.00013561,0.00013561
63,64646.7,1.18155,2.98533,1.03152,1.16928,0.52698,0.30867,0.31986,0.21285,0.46899,0.20305,0.20818,0.11892,1.34982,3.42526,1.24295,1.14008,0.000134112,0.000134112,0.000134112
64,65696.4,1.17411,2.97886,1.03044,1.16851,0.56959,0.29785,0.32102,0.21375,0.47123,0.21479,0.21529,0.12382,1.36563,3.42484,1.24336,1.1523,0.000132613,0.000132613,0.000132613
65,66753.6,1.18704,2.99212,1.02989,1.17053,0.54822,0.29878,0.31032,0.21049,0.42821,0.21188,0.21098,0.11907,1.35315,3.44436,1.24221,1.144,0.000131115,0.000131115,0.000131115
66,67809,1.18033,2.98354,1.02817,1.16606,0.5338,0.31515,0.329,0.21975,0.46633,0.22104,0.22489,0.12658,1.35926,3.45193,1.23449,1.15046,0.000129617,0.000129617,0.000129617
67,68865.3,1.16773,2.96,1.02258,1.16836,0.51428,0.31759,0.31445,0.21294,0.42327,0.22572,0.20925,0.11925,1.36393,3.42838,1.24011,1.14904,0.000128119,0.000128119,0.000128119
